,,,問6(10).見知らぬ人に対してでも相手の立場になって考える／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5076,1464,1950,1211,451,85
全体,,構成比（％）,100.0,28.8,38.4,23.9,8.9,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,93,156,89,41,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,24.5,41.2,23.5,10.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,46,57,39,22,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,28.0,34.8,23.8,13.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,45,92,49,19,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,22.0,44.9,23.9,9.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,2,7,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,20.0,70.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,796,293,296,153,54,12
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,36.8,37.2,19.2,6.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,378,139,136,72,31,6
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,36.8,36.0,19.0,8.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,149,141,78,22,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,38.2,36.2,20.0,5.6,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,5,19,3,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,17.9,67.9,10.7,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,135,175,110,42,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,29.2,37.9,23.8,9.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,80,91,63,28,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,30.5,34.7,24.0,10.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,54,84,47,14,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,27.1,42.2,23.6,7.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
