,,,問9(1).友達を仲間はずれにした／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4992,3208,1060,666,58,169
全体,,構成比（％）,100.0,64.3,21.2,13.3,1.2,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,373,223,88,56,6,17
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,59.8,23.6,15.0,1.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,161,103,32,25,1,11
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,64.0,19.9,15.5,0.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,202,111,56,31,4,6
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,55.0,27.7,15.3,2.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,9,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,90.0,0.0,0.0,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,514,158,102,8,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,65.7,20.2,13.0,1.0,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,232,86,47,3,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,63.0,23.4,12.8,0.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,258,70,53,5,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,66.8,18.1,13.7,1.3,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,24,2,2,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,85.7,7.1,7.1,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,238,130,77,8,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,52.5,28.7,17.0,1.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,257,135,82,38,2,11
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,52.5,31.9,14.8,0.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,195,102,48,39,6,6
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,52.3,24.6,20.0,3.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,747,483,160,95,9,24
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,64.7,21.4,12.7,1.2,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,190,72,38,4,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,62.5,23.7,12.5,1.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,231,73,53,5,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,63.8,20.2,14.6,1.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,62,15,4,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,76.5,18.5,4.9,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,799,546,149,100,4,20
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,68.3,18.6,12.5,0.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,146,66,29,3,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,59.8,27.0,11.9,1.2,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,348,240,59,48,1,10
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,69.0,17.0,13.8,0.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,160,24,23,0,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,77.3,11.6,11.1,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,509,307,128,67,7,22
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,60.3,25.1,13.2,1.4,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,149,75,44,4,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,54.8,27.6,16.2,1.5,
