,,,問6(11).自分が誰かの迷惑になっていないか常に気をつかう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6680,2298,2916,1141,325,88
全体,,構成比（％）,100.0,34.4,43.7,17.1,4.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2248,772,890,425,161,46
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,34.3,39.6,18.9,7.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1150,351,435,266,98,32
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,30.5,37.8,23.1,8.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1098,421,455,159,63,14
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,38.3,41.4,14.5,5.7,
小中高校生別×男女別,中学生-全体,回答者数（人）,2492,876,1087,415,114,26
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,35.2,43.6,16.7,4.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1267,404,537,244,82,10
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,31.9,42.4,19.3,6.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,472,550,171,32,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,38.5,44.9,14.0,2.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1849,614,910,283,42,13
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,33.2,49.2,15.3,2.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,813,260,379,145,29,8
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,32.0,46.6,17.8,3.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1036,354,531,138,13,5
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,34.2,51.3,13.3,1.3,
