,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(3位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,6129,625,894,823,521,720,375,856
全体,,構成比（％）,100.0,10.2,14.6,13.4,8.5,11.7,6.1,14.0
小中高校生別×男女別,小学生-全体,回答者数（人）,2060,240,255,227,159,188,163,267
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,11.7,12.4,11.0,7.7,9.1,7.9,13.0
小中高校生別×男女別,小学生-男子,回答者数（人）,1029,111,137,105,73,99,81,140
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,10.8,13.3,10.2,7.1,9.6,7.9,13.6
小中高校生別×男女別,小学生-女子,回答者数（人）,1031,129,118,122,86,89,82,127
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,12.5,11.4,11.8,8.3,8.6,8.0,12.3
小中高校生別×男女別,中学生-全体,回答者数（人）,2270,237,341,311,198,266,141,274
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,10.4,15.0,13.7,8.7,11.7,6.2,12.1
小中高校生別×男女別,中学生-男子,回答者数（人）,1127,98,156,174,107,129,77,141
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,8.7,13.8,15.4,9.5,11.4,6.8,12.5
小中高校生別×男女別,中学生-女子,回答者数（人）,1143,139,185,137,91,137,64,133
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,12.2,16.2,12.0,8.0,12.0,5.6,11.6
小中高校生別×男女別,高校生-全体,回答者数（人）,1725,140,291,278,154,258,60,305
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,8.1,16.9,16.1,8.9,15.0,3.5,17.7
小中高校生別×男女別,高校生-男子,回答者数（人）,755,67,121,131,69,103,33,117
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.9,16.0,17.4,9.1,13.6,4.4,15.5
小中高校生別×男女別,高校生-女子,回答者数（人）,970,73,170,147,85,155,27,188
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,7.5,17.5,15.2,8.8,16.0,2.8,19.4
