,,,問7(7).親や先生など大人がいうことは、聞かないようにしている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6692,156,591,2912,3033,76
全体,,構成比（％）,100.0,2.3,8.8,43.5,45.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2253,47,114,645,1447,41
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,2.1,5.1,28.6,64.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1154,31,81,358,684,28
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,2.7,7.0,31.0,59.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1099,16,33,287,763,13
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.5,3.0,26.1,69.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2495,76,288,1135,996,23
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,3.0,11.5,45.5,39.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1264,57,173,556,478,13
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,4.5,13.7,44.0,37.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1231,19,115,579,518,10
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,1.5,9.3,47.0,42.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,31,177,1099,544,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,1.7,9.6,59.4,29.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,814,21,97,494,202,7
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,2.6,11.9,60.7,24.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,10,80,605,342,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.0,7.7,58.3,33.0,
