,,,問7(5).自分が失敗したとき、人のせいにすることがある／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6697,343,1804,2768,1782,71
全体,,構成比（％）,100.0,5.1,26.9,41.3,26.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2254,107,459,862,826,40
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.7,20.4,38.2,36.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1153,77,263,440,373,29
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,6.7,22.8,38.2,32.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1101,30,196,422,453,11
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.7,17.8,38.3,41.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2495,140,701,1039,615,23
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,5.6,28.1,41.6,24.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1265,96,394,494,281,12
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,7.6,31.1,39.1,22.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1230,44,307,545,334,11
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.6,25.0,44.3,27.2,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,92,615,840,308,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.0,33.2,45.3,16.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,54,278,377,108,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,6.6,34.0,46.1,13.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,38,337,463,200,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.7,32.5,44.6,19.3,
