,,,問9(11).歩道いっぱいに広がって歩いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6566,3742,1098,1392,334,202
全体,,構成比（％）,100.0,57.0,16.7,21.2,5.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2187,1384,411,329,63,107
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,63.3,18.8,15.0,2.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1109,714,195,168,32,73
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,64.4,17.6,15.1,2.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1078,670,216,161,31,34
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,62.2,20.0,14.9,2.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2466,1329,390,588,159,52
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,53.9,15.8,23.8,6.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1243,703,199,251,90,34
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,56.6,16.0,20.2,7.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1223,626,191,337,69,18
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,51.2,15.6,27.6,5.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,973,280,465,104,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,53.4,15.4,25.5,5.7,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,422,117,204,61,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,52.5,14.6,25.4,7.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1018,551,163,261,43,23
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,54.1,16.0,25.6,4.2,
