,,,問8(1).友達を仲間はずれにする人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5018,235,457,1754,2572,143
全体,,構成比（％）,100.0,4.7,9.1,35.0,51.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,25,41,127,189,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,6.5,10.7,33.2,49.5,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,10,7,47,103,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.0,4.2,28.1,61.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,15,33,75,82,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,7.3,16.1,36.6,40.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,783,34,58,246,445,25
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.3,7.4,31.4,56.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,12,15,107,234,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,3.3,4.1,29.1,63.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,21,43,125,198,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.4,11.1,32.3,51.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,0,14,13,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,0.0,50.0,46.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,28,41,157,231,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,6.1,9.0,34.4,50.5,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,14,19,83,144,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,5.4,7.3,31.9,55.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,14,22,73,87,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,7.1,11.2,37.2,44.4,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
