,,,問6(10).見知らぬ人に対してでも相手の立場になって考える／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6665,1836,2704,1596,529,103
全体,,構成比（％）,100.0,27.5,40.6,23.9,7.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2241,648,788,551,254,53
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,28.9,35.2,24.6,11.3,
小中高校生別×男女別,小学生-男子,回答者数（人）,1146,293,391,302,160,36
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,25.6,34.1,26.4,14.0,
小中高校生別×男女別,小学生-女子,回答者数（人）,1095,355,397,249,94,17
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,32.4,36.3,22.7,8.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2482,740,990,560,192,36
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,29.8,39.9,22.6,7.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1257,348,449,322,138,20
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,27.7,35.7,25.6,11.0,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,392,541,238,54,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,32.0,44.2,19.4,4.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,420,896,462,73,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,22.7,48.4,25.0,3.9,
小中高校生別×男女別,高校生-男子,回答者数（人）,815,163,392,217,43,6
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,20.0,48.1,26.6,5.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,1036,257,504,245,30,5
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,24.8,48.6,23.6,2.9,
