,,,問6(12).他人に迷惑がかかりそうな身勝手な行動はつつしむ／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6685,2644,2940,808,293,83
全体,,構成比（％）,100.0,39.6,44.0,12.1,4.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2242,908,836,326,172,52
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,40.5,37.3,14.5,7.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1151,410,419,217,105,31
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,35.6,36.4,18.9,9.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1091,498,417,109,67,21
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,45.6,38.2,10.0,6.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2495,1000,1113,297,85,23
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,40.1,44.6,11.9,3.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,465,548,195,60,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,36.7,43.2,15.4,4.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1227,535,565,102,25,14
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,43.6,46.0,8.3,2.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,700,961,167,27,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,37.7,51.8,9.0,1.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,294,399,103,21,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,36.0,48.8,12.6,2.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,406,562,64,6,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,39.1,54.1,6.2,0.6,
