,,,問7(4).自分でできることは、自分でするように努めている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6680,2905,2860,793,122,88
全体,,構成比（％）,100.0,43.5,42.8,11.9,1.8,
小中高校生別×男女別,小学生-全体,回答者数（人）,2247,1071,855,262,59,47
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,47.7,38.1,11.7,2.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1147,489,453,167,38,35
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,42.6,39.5,14.6,3.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1100,582,402,95,21,12
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,52.9,36.5,8.6,1.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2486,1078,1077,288,43,32
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,43.4,43.3,11.6,1.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1261,531,531,177,22,16
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,42.1,42.1,14.0,1.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,547,546,111,21,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,44.7,44.6,9.1,1.7,
小中高校生別×男女別,高校生-全体,回答者数（人）,1854,716,895,225,18,8
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,38.6,48.3,12.1,1.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,301,399,105,12,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,36.8,48.8,12.9,1.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,415,496,120,6,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,40.0,47.8,11.6,0.6,
