,,,問9(11).歩道いっぱいに広がって歩いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4999,2942,842,978,237,162
全体,,構成比（％）,100.0,58.9,16.8,19.6,4.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,377,229,60,61,27,13
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,60.7,15.9,16.2,7.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,125,24,11,3,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,76.7,14.7,6.7,1.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,99,34,49,22,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,48.5,16.7,24.0,10.8,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,5,2,1,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,50.0,20.0,10.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,784,486,130,139,29,24
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,62.0,16.6,17.7,3.7,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,252,65,41,10,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,68.5,17.7,11.1,2.7,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,388,223,58,92,15,8
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,57.5,14.9,23.7,3.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,11,7,6,4,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,39.3,25.0,21.4,14.3,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,217,101,104,31,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,47.9,22.3,23.0,6.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,133,67,48,10,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,51.6,26.0,18.6,3.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,194,83,34,56,21,7
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,42.8,17.5,28.9,10.8,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,747,412,124,180,31,24
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,55.2,16.6,24.1,4.1,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,168,66,61,8,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,55.4,21.8,20.1,2.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,196,51,98,18,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,54.0,14.0,27.0,5.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,48,7,21,5,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,59.3,8.6,25.9,6.2,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,481,121,165,33,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,60.1,15.1,20.6,4.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,155,41,39,8,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,63.8,16.9,16.0,3.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,198,51,84,17,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,56.6,14.6,24.0,4.9,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,128,29,42,8,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,61.8,14.0,20.3,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,506,280,90,112,24,25
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,55.3,17.8,22.1,4.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,268,164,49,48,7,18
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,61.2,18.3,17.9,2.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,112,39,59,16,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,49.6,17.3,26.1,7.1,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,2,5,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,16.7,41.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,693,448,120,103,22,25
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,64.6,17.3,14.9,3.2,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,190,117,36,31,6,13
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,61.6,18.9,16.3,3.2,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,340,220,61,48,11,5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,64.7,17.9,14.1,3.2,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,111,23,24,5,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,68.1,14.1,14.7,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,389,96,114,40,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,60.9,15.0,17.8,6.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,211,47,28,8,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,71.8,16.0,9.5,2.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,138,37,61,29,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,52.1,14.0,23.0,10.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,40,12,25,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,50.0,15.0,31.3,3.8,
