,,,問4(4).友達の悪口を言う人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5122,277,493,1583,2769,39
全体,,構成比（％）,100.0,5.4,9.6,30.9,54.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,384,30,44,118,192,6
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,7.8,11.5,30.7,50.0,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,9,9,48,101,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,5.4,5.4,28.7,60.5,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,207,21,33,67,86,1
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,10.1,15.9,32.4,41.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,3,5,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,30.0,50.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,802,35,67,224,476,6
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.4,8.4,27.9,59.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,12,13,89,267,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,3.1,3.4,23.4,70.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,393,21,54,121,197,3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.3,13.7,30.8,50.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,0,14,12,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,0.0,50.0,42.9,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,25,40,128,270,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,5.4,8.6,27.6,58.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,8,10,71,174,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.0,3.8,27.0,66.2,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,17,30,57,95,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,8.5,15.1,28.6,47.7,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,765,34,68,254,409,6
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,4.4,8.9,33.2,53.5,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,316,17,20,96,183,5
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,5.4,6.3,30.4,57.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,15,34,124,195,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.1,9.2,33.7,53.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,2,14,34,31,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,17.3,42.0,38.3,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,47,105,269,393,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.8,12.9,33.0,48.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,11,18,51,170,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.4,7.2,20.4,68.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,27,45,131,152,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,7.6,12.7,36.9,42.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,9,42,87,71,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.3,20.1,41.6,34.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,19,45,179,284,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.6,8.5,34.0,53.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,7,14,82,179,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.5,5.0,29.1,63.5,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,12,27,92,102,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,5.2,11.6,39.5,43.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,4,5,3,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,33.3,41.7,25.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,48,58,199,411,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.7,8.1,27.8,57.4,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,10,13,41,137,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,5.0,6.5,20.4,68.2,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,27,26,106,186,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,7.8,7.5,30.7,53.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,11,19,52,88,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,6.5,11.2,30.6,51.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,651,39,66,212,334,3
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.0,10.1,32.6,51.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,303,14,17,75,197,2
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.6,5.6,24.8,65.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,22,42,104,99,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,8.2,15.7,39.0,37.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,3,7,33,38,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,3.7,8.6,40.7,46.9,
