,,,問8(9).ごみや空き缶、ガムなどを道に捨てる人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5009,335,433,1382,2859,152
全体,,構成比（％）,100.0,6.7,8.6,27.6,57.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,42,38,106,195,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,11.0,10.0,27.8,51.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,12,10,35,110,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.2,6.0,21.0,65.9,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,30,27,66,81,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,14.7,13.2,32.4,39.7,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,40,57,189,496,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,5.1,7.3,24.2,63.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,367,16,20,75,256,17
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.4,5.4,20.4,69.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,21,33,106,227,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.4,8.5,27.4,58.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,3,4,8,13,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,10.7,14.3,28.6,46.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,456,35,36,126,259,14
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,7.7,7.9,27.6,56.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,18,17,55,169,9
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,6.9,6.6,21.2,65.3,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,17,19,71,89,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,8.7,9.7,36.2,45.4,
