,,,問4(2).名前を呼ばれているのに、きちんと返事をしない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5120,422,958,2068,1672,41
全体,,構成比（％）,100.0,8.2,18.7,40.4,32.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,384,38,67,154,125,6
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,9.9,17.4,40.1,32.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,19,24,64,60,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,11.4,14.4,38.3,35.9,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,207,19,42,88,58,1
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,9.2,20.3,42.5,28.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,2,7,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,20.0,70.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,804,68,145,292,299,4
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,8.5,18.0,36.3,37.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,382,31,54,135,162,2
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,8.1,14.1,35.3,42.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,394,36,87,143,128,2
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,9.1,22.1,36.3,32.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,4,14,9,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,14.3,50.0,32.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,461,40,95,190,136,9
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,8.7,20.6,41.2,29.5,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,22,47,105,88,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,8.4,17.9,40.1,33.6,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,18,48,84,48,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.1,24.2,42.4,24.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,766,48,147,338,233,5
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,6.3,19.2,44.1,30.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,318,22,56,129,111,3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,6.9,17.6,40.6,34.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,23,75,169,100,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,6.3,20.4,46.0,27.2,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,3,16,40,22,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,3.7,19.8,49.4,27.2,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,813,77,156,334,246,6
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,9.5,19.2,41.1,30.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,25,34,98,93,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,10.0,13.6,39.2,37.2,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,30,76,146,102,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,8.5,21.5,41.2,28.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,22,46,90,51,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,10.5,22.0,43.1,24.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,37,97,240,152,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,7.0,18.4,45.6,28.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,18,51,113,99,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,6.4,18.1,40.2,35.2,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,17,44,120,52,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,7.3,18.9,51.5,22.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,2,2,7,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,16.7,16.7,58.3,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,717,54,135,272,256,1
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,7.5,18.8,37.9,35.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,15,35,79,73,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,7.4,17.3,39.1,36.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,30,64,123,128,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,8.7,18.6,35.7,37.1,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,9,36,70,55,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,5.3,21.2,41.2,32.4,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,649,60,116,248,225,5
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,9.2,17.9,38.2,34.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,27,50,102,123,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,8.9,16.6,33.8,40.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,31,52,110,73,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,11.7,19.5,41.4,27.4,
