,,,問9(8).決められた場所以外に自転車を置いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,5001,3376,648,689,288,160
全体,,構成比（％）,100.0,67.5,13.0,13.8,5.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,376,203,59,71,43,14
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,54.0,15.7,18.9,11.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,162,106,29,18,9,10
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,65.4,17.9,11.1,5.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,90,30,51,33,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,44.1,14.7,25.0,16.2,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,7,0,2,1,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,70.0,0.0,20.0,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,496,118,115,53,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,63.4,15.1,14.7,6.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,273,49,24,22,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,74.2,13.3,6.5,6.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,215,65,79,27,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,55.7,16.8,20.5,7.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,8,4,12,4,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,28.6,14.3,42.9,14.3,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,455,267,64,92,32,15
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,58.7,14.1,20.2,7.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,170,40,42,6,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,65.9,15.5,16.3,2.3,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,96,24,50,26,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,49.0,12.2,25.5,13.3,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,439,114,133,60,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,58.8,15.3,17.8,8.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,199,48,38,18,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,65.7,15.8,12.5,5.9,
