,,,問7(9).困っている人がいるときには、助けてあげる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6699,2664,3163,699,173,69
全体,,構成比（％）,100.0,39.8,47.2,10.4,2.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2257,1049,904,226,78,37
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,46.5,40.1,10.0,3.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1157,449,500,153,55,25
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,38.8,43.2,13.2,4.8,
小中高校生別×男女別,小学生-女子,回答者数（人）,1100,600,404,73,23,12
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,54.5,36.7,6.6,2.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2496,1022,1151,255,68,22
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,40.9,46.1,10.2,2.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,446,594,180,46,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,35.2,46.9,14.2,3.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1230,576,557,75,22,11
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,46.8,45.3,6.1,1.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1853,552,1076,201,24,9
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,29.8,58.1,10.8,1.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,215,461,121,20,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,26.3,56.4,14.8,2.4,
小中高校生別×男女別,高校生-女子,回答者数（人）,1036,337,615,80,4,5
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,32.5,59.4,7.7,0.4,
