,,,問8(2).先生の指示に従わない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6577,422,1014,2520,2621,191
全体,,構成比（％）,100.0,6.4,15.4,38.3,39.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2196,119,184,663,1230,98
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.4,8.4,30.2,56.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1113,86,119,344,564,69
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,7.7,10.7,30.9,50.7,
小中高校生別×男女別,小学生-女子,回答者数（人）,1083,33,65,319,666,29
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,3.0,6.0,29.5,61.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2465,202,483,946,834,53
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,8.2,19.6,38.4,33.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,135,273,445,389,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.9,22.0,35.8,31.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1223,67,210,501,445,18
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,5.5,17.2,41.0,36.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1825,94,336,875,520,37
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.2,18.4,47.9,28.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,66,182,367,189,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.2,22.6,45.6,23.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,28,154,508,331,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.7,15.1,49.8,32.4,
