,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(3位)／合計,地域の人々の交流が深まること,町をきれ,その他,不明
全体,,回答者数（人）,4669,553,519,19,492
全体,,構成比（％）,100.0,11.8,11.1,0.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,339,35,41,1,51
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,10.3,12.1,0.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,147,17,22,0,25
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,11.6,15.0,0.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,183,17,18,1,25
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,9.3,9.8,0.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,1,1,0,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,11.1,11.1,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,735,93,78,2,73
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,12.7,10.6,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,49,48,1,34
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,14.0,13.7,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,358,42,27,1,38
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,11.7,7.5,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,2,3,0,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.4,11.1,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,429,57,41,1,41
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,13.3,9.6,0.2,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,249,39,19,1,19
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,15.7,7.6,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,18,22,0,22
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,10.1,12.3,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,711,89,86,7,60
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,12.5,12.1,1.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,296,34,51,4,25
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,11.5,17.2,1.4,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,49,32,3,30
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,14.5,9.4,0.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,6,3,0,5
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,7.9,3.9,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,735,67,90,1,84
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,9.1,12.2,0.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,223,17,38,1,29
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,7.6,17.0,0.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,39,43,0,36
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,12.1,13.4,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,190,11,9,0,19
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,5.8,4.7,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,481,57,50,1,50
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,11.9,10.4,0.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,251,36,32,1,35
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,14.3,12.7,0.4,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,219,21,18,0,14
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,9.6,8.2,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,649,95,60,2,69
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,14.6,9.2,0.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,31,18,0,21
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,17.0,9.9,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,311,41,30,1,34
