,,,問11(2).それらの活動では、あなたはやっていて楽しかったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3141,130,246,952,1813,28,1992
全体,,構成比（％）,100.0,4.1,7.8,30.3,57.7,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,14,19,75,124,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,6.0,8.2,32.3,53.4,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,5,7,23,70,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,4.8,6.7,21.9,66.7,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,8,11,51,53,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,6.5,8.9,41.5,43.1,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,1,1,1,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,25.0,25.0,25.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,519,25,28,145,321,3,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.8,5.4,27.9,61.8,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,249,10,10,60,169,1,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.0,4.0,24.1,67.9,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,256,15,18,80,143,2,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.9,7.0,31.3,55.9,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,0,0,5,9,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,0.0,0.0,35.7,64.3,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,266,14,17,81,154,4,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,5.3,6.4,30.5,57.9,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,5,6,41,116,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.0,3.6,24.4,69.0,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,9,11,40,38,2,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.2,11.2,40.8,38.8,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,511,15,38,147,311,2,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,2.9,7.4,28.8,60.9,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,9,8,49,157,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,4.0,3.6,22.0,70.4,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,245,5,21,81,138,0,124
