,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
全体,,回答者数（人）,4624,3251,1446,993,721,1760,987,2304
全体,,構成比（％）,100.0,70.3,31.3,21.5,15.6,38.1,21.3,49.8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,352,236,96,64,58,143,64,161
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,67.0,27.3,18.2,16.5,40.6,18.2,45.7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,153,102,37,31,30,65,26,78
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,66.7,24.2,20.3,19.6,42.5,17.0,51.0
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,190,128,57,31,28,75,35,81
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,67.4,30.0,16.3,14.7,39.5,18.4,42.6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,6,2,2,0,3,3,2
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,66.7,22.2,22.2,0.0,33.3,33.3,22.2
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,731,530,243,179,125,271,179,359
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,72.5,33.2,24.5,17.1,37.1,24.5,49.1
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,278,129,94,66,168,109,191
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,79.4,36.9,26.9,18.9,48.0,31.1,54.6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,355,235,110,82,56,95,67,155
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,66.2,31.0,23.1,15.8,26.8,18.9,43.7
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,26,17,4,3,3,8,3,13
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,65.4,15.4,11.5,11.5,30.8,11.5,50.0
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,416,312,133,87,61,179,118,214
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,75.0,32.0,20.9,14.7,43.0,28.4,51.4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,241,194,95,56,48,119,81,137
