,,平均値,標準偏差,学校場面の規範意識,公共場面の規範意識,（検定）,学校場面の逸脱行動,（検定）,公共場面の逸脱行動,（検定）
小学生,学校場面の規範意識,3.42,0.67,-,0.711,**,-0.395,**,-0.278,**
小学生,公共場面の規範意識,3.21,0.68,,-,,-0.337,**,-0.371,**
小学生,学校場面の逸脱行動,0.63,0.53,,,,-,,0.497,**
小学生,公共場面の逸脱行動,0.36,0.45,,,,,,-,
中学生,学校場面の規範意識,3.09,0.76,-,0.731,**,-0.355,**,-0.264,**
中学生,公共場面の規範意識,2.94,0.73,,-,,-0.331,**,-0.373,**
中学生,学校場面の逸脱行動,0.80,0.60,,,,-,,0.622,**
中学生,公共場面の逸脱行動,0.58,0.64,,,,,,-,
高校生,学校場面の規範意識,3.07,0.65,-,0.649,**,-0.273,**,-0.162,**
高校生,公共場面の規範意識,2.96,0.61,,-,,-0.218,**,-0.270,**
高校生,学校場面の逸脱行動,0.80,0.58,,,,-,,0.587,**
高校生,公共場面の逸脱行動,0.66,0.65,,,,,,-,
注）**：p<0.01,,,,,,,,,,
