,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(3位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,4669,507,663,575,378,526,311,618
全体,,構成比（％）,100.0,10.9,14.2,12.3,8.1,11.3,6.7,13.2
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,339,33,41,46,37,37,19,49
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,9.7,12.1,13.6,10.9,10.9,5.6,14.5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,147,14,18,17,15,14,9,21
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,9.5,12.2,11.6,10.2,9.5,6.1,14.3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,183,19,22,27,22,20,10,27
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,10.4,12.0,14.8,12.0,10.9,5.5,14.8
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,0,1,2,0,3,0,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,11.1,22.2,0.0,33.3,0.0,11.1
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,735,70,112,102,53,79,39,107
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,9.5,15.2,13.9,7.2,10.7,5.3,14.6
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,39,48,35,28,32,16,54
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,11.1,13.7,10.0,8.0,9.1,4.6,15.4
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,358,28,58,65,25,44,21,47
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,7.8,16.2,18.2,7.0,12.3,5.9,13.1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,3,6,2,0,3,2,6
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,11.1,22.2,7.4,0.0,11.1,7.4,22.2
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,429,45,63,66,30,43,40,43
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,10.5,14.7,15.4,7.0,10.0,9.3,10.0
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,249,32,28,35,20,28,27,20
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,12.9,11.2,14.1,8.0,11.2,10.8,8.0
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,12,35,31,10,15,13,23
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,6.7,19.6,17.3,5.6,8.4,7.3,12.8
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,711,75,87,87,60,91,50,79
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,10.5,12.2,12.2,8.4,12.8,7.0,11.1
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,296,29,31,30,24,32,30,31
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,9.8,10.5,10.1,8.1,10.8,10.1,10.5
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,39,44,44,30,44,18,36
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,11.5,13.0,13.0,8.8,13.0,5.3,10.6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,7,12,13,6,15,2,12
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,9.2,15.8,17.1,7.9,19.7,2.6,15.8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,735,81,100,94,61,93,48,100
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,11.0,13.6,12.8,8.3,12.7,6.5,13.6
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,223,30,26,22,14,22,24,29
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,13.5,11.7,9.9,6.3,9.9,10.8,13.0
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,42,40,42,32,36,15,33
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,13.0,12.4,13.0,9.9,11.2,4.7,10.2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,190,9,34,30,15,35,9,38
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.7,17.9,15.8,7.9,18.4,4.7,20.0
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,481,56,57,45,47,62,38,68
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,11.6,11.9,9.4,9.8,12.9,7.9,14.1
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,251,32,23,21,20,29,19,38
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,12.7,9.2,8.4,8.0,11.6,7.6,15.1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,219,23,31,22,26,31,19,28
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,10.5,14.2,10.0,11.9,14.2,8.7,12.8
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,1,3,2,1,2,0,2
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,9.1,27.3,18.2,9.1,18.2,0.0,18.2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,649,82,95,61,49,70,37,98
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,12.6,14.6,9.4,7.6,10.8,5.7,15.1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,23,21,23,12,15,10,29
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,12.6,11.5,12.6,6.6,8.2,5.5,15.9
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,311,42,46,28,28,38,20,37
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,13.5,14.8,9.0,9.0,12.2,6.4,11.9
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,156,17,28,10,9,17,7,32
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,10.9,17.9,6.4,5.8,10.9,4.5,20.5
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,590,65,108,74,41,51,40,74
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,11.0,18.3,12.5,6.9,8.6,6.8,12.5
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,32,49,36,20,12,23,37
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,11.4,17.5,12.9,7.1,4.3,8.2,13.2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,235,27,43,28,13,27,14,28
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,11.5,18.3,11.9,5.5,11.5,6.0,11.9
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,6,16,10,8,12,3,9
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,8.0,21.3,13.3,10.7,16.0,4.0,12.0
