,,,問5(6).あなたは、友達に迷惑をかけたときには、謝る／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6693,4679,1749,151,114,75
全体,,構成比（％）,100.0,69.9,26.1,2.3,1.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2255,1563,579,63,50,39
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,69.3,25.7,2.8,2.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1155,714,373,46,22,27
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,61.8,32.3,4.0,1.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1100,849,206,17,28,12
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,77.2,18.7,1.5,2.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2493,1769,631,48,45,25
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,71.0,25.3,1.9,1.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1261,791,400,39,31,16
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,62.7,31.7,3.1,2.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1232,978,231,9,14,9
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,79.4,18.8,0.7,1.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1854,1282,518,36,18,8
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,69.1,27.9,1.9,1.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,493,282,30,11,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,60.4,34.6,3.7,1.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,789,236,6,7,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,76.0,22.7,0.6,0.7,
