,,,問4(7).先生に対して、ていねいな言葉づかいをしない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5118,497,1000,1895,1726,43
全体,,構成比（％）,100.0,9.7,19.5,37.0,33.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,44,84,124,129,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,11.5,22.0,32.5,33.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,15,26,48,76,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,9.1,15.8,29.1,46.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,29,55,75,47,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,14.1,26.7,36.4,22.8,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,3,1,6,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,30.0,10.0,60.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,803,61,150,290,302,5
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,7.6,18.7,36.1,37.6,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,382,25,59,122,176,2
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,6.5,15.4,31.9,46.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,393,35,84,154,120,3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,8.9,21.4,39.2,30.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,7,14,6,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,25.0,50.0,21.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,461,41,73,173,174,9
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,8.9,15.8,37.5,37.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,261,22,36,87,116,7
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,8.4,13.8,33.3,44.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,19,36,86,58,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.5,18.1,43.2,29.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,767,66,171,286,244,4
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,8.6,22.3,37.3,31.8,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,318,29,57,106,126,3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,9.1,17.9,33.3,39.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,28,90,147,103,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,7.6,24.5,39.9,28.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,9,24,33,15,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,11.1,29.6,40.7,18.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,79,175,283,277,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,9.7,21.5,34.8,34.0,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,19,26,83,123,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,7.6,10.4,33.1,49.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,42,73,129,110,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,11.9,20.6,36.4,31.1,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,18,76,71,44,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,8.6,36.4,34.0,21.1,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,50,87,218,172,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,9.5,16.5,41.4,32.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,20,40,115,107,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,7.1,14.2,40.8,37.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,28,45,97,63,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,12.0,19.3,41.6,27.0,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,2,2,6,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,16.7,16.7,50.0,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,73,130,276,237,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,10.2,18.2,38.5,33.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,22,28,70,82,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,10.9,13.9,34.7,40.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,34,55,142,114,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,9.9,15.9,41.2,33.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,169,17,47,64,41,1
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,10.1,27.8,37.9,24.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,649,83,130,245,191,5
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,12.8,20.0,37.8,29.4,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,31,38,114,119,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,10.3,12.6,37.7,39.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,46,77,88,55,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,17.3,28.9,33.1,20.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,6,15,43,17,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,7.4,18.5,53.1,21.0,
