,,,問7(5).自分が失敗したとき、人のせいにすることがある／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5099,258,1296,2079,1466,62
全体,,構成比（％）,100.0,5.1,25.4,40.8,28.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,20,91,163,107,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,5.2,23.9,42.8,28.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,6,30,63,67,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,3.6,18.1,38.0,40.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,14,59,94,38,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,6.8,28.8,45.9,18.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,6,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,60.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,797,41,204,314,238,11
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,5.1,25.6,39.4,29.9,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,379,19,82,143,135,5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,5.0,21.6,37.7,35.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,20,112,156,102,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.1,28.7,40.0,26.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,10,15,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,35.7,53.6,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,27,136,177,124,6
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,5.8,29.3,38.1,26.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,15,61,101,87,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,5.7,23.1,38.3,33.0,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,12,75,76,36,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,6.0,37.7,38.2,18.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,761,34,207,308,212,10
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,4.5,27.2,40.5,27.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,313,14,70,124,105,8
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,4.5,22.4,39.6,33.5,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,17,109,147,94,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.6,29.7,40.1,25.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,3,28,37,13,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,3.7,34.6,45.7,16.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,813,41,197,351,224,6
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.0,24.2,43.2,27.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,13,38,104,95,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,5.2,15.2,41.6,38.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,19,97,139,99,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,5.4,27.4,39.3,28.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,9,62,108,30,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.3,29.7,51.7,14.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,25,137,217,147,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.8,26.0,41.3,27.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,10,78,114,79,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.6,27.8,40.6,28.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,13,55,97,68,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,5.6,23.6,41.6,29.2,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,2,4,6,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,16.7,33.3,50.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,714,38,162,299,215,4
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.3,22.7,41.9,30.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,203,9,28,73,93,0
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,4.4,13.8,36.0,45.8,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,21,84,153,85,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,6.1,24.5,44.6,24.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,8,50,73,37,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.8,29.8,43.5,22.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,643,32,162,250,199,11
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,5.0,25.2,38.9,30.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,10,58,113,115,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.4,19.6,38.2,38.9,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,18,74,107,67,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,6.8,27.8,40.2,25.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,4,30,30,17,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,4.9,37.0,37.0,21.0,
