,,,問6(4).友達がみんなで悪いことをしているのに自分だけ裏切れない／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5031,419,1136,1640,1836,130
全体,,構成比（％）,100.0,8.3,22.6,32.6,36.5,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,378,34,84,113,147,12
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,9.0,22.2,29.9,38.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,13,29,39,83,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.9,17.7,23.8,50.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,21,55,69,59,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,10.3,27.0,33.8,28.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,0,5,5,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,0.0,50.0,50.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,789,77,178,215,319,19
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,9.8,22.6,27.2,40.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,44,69,80,187,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,11.6,18.2,21.1,49.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,381,32,100,123,126,15
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,8.4,26.2,32.3,33.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,9,12,6,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,32.1,42.9,21.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,458,42,116,149,151,12
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,9.2,25.3,32.5,33.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,29,49,74,107,9
