,,,問9(1).友達を仲間はずれにした／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6553,4388,1256,821,88,215
全体,,構成比（％）,100.0,67.0,19.2,12.5,1.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2189,1331,556,277,25,105
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,60.8,25.4,12.7,1.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1109,611,300,180,18,73
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,55.1,27.1,16.2,1.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1080,720,256,97,7,32
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,66.7,23.7,9.0,0.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2456,1578,470,369,39,62
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,64.3,19.1,15.0,1.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1241,768,228,218,27,36
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,61.9,18.4,17.6,2.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1215,810,242,151,12,26
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,66.7,19.9,12.4,1.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1817,1422,208,165,22,45
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,78.3,11.4,9.1,1.2,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,595,95,98,14,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,74.2,11.8,12.2,1.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1015,827,113,67,8,26
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,81.5,11.1,6.6,0.8,
