,,,問11(7).それらの活動では、あなたは年上の人にめんどうをみてもらったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3137,538,594,810,1195,32,1992
全体,,構成比（％）,100.0,17.2,18.9,25.8,38.1,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,38,53,64,77,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,16.4,22.8,27.6,33.2,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,21,24,26,34,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,20.0,22.9,24.8,32.4,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,16,28,37,42,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,13.0,22.8,30.1,34.1,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,1,1,1,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,25.0,25.0,25.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,518,93,122,121,182,4,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,18.0,23.6,23.4,35.1,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,248,43,66,66,73,2,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,17.3,26.6,26.6,29.4,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,256,48,54,53,101,2,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,18.8,21.1,20.7,39.5,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,2,2,2,8,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,14.3,14.3,14.3,57.1,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,264,53,54,77,80,6,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,20.1,20.5,29.2,30.3,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,166,35,37,45,49,4,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,21.1,22.3,27.1,29.5,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,18,17,32,31,2,101
