,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(1位)／合計,地域の人々の交流が深まること,町をきれ,その他,不明
全体,,回答者数（人）,4711,176,213,52,450
全体,,構成比（％）,100.0,3.7,4.5,1.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,350,5,18,8,40
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,1.4,5.1,2.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,151,5,13,0,21
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,3.3,8.6,0.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,189,0,5,8,19
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,0.0,2.6,4.2,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,740,44,30,8,68
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,5.9,4.1,1.1,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,353,30,14,4,31
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,8.5,4.0,1.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,360,13,15,3,36
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,3.6,4.2,0.8,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,1,1,1,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.7,3.7,3.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,430,13,26,2,40
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,3.0,6.0,0.5,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,250,9,20,1,18
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.6,8.0,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,4,6,1,22
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,2.2,3.4,0.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,717,25,26,15,54
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.5,3.6,2.1,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,299,13,19,9,22
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,4.3,6.4,3.0,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,342,11,7,6,27
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.2,2.0,1.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,1,0,0,5
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,1.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,743,14,38,5,76
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,1.9,5.1,0.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,224,8,19,1,28
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,3.6,8.5,0.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,323,4,13,4,35
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,1.2,4.0,1.2,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,2,6,0,13
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,1.0,3.1,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,485,21,13,3,46
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.3,2.7,0.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,253,14,8,1,33
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,5.5,3.2,0.4,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,221,5,5,2,12
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,2.3,2.3,0.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,2,0,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,18.2,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,655,25,23,7,63
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,3.8,3.5,1.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,6,16,2,21
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,3.3,8.8,1.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,315,14,6,4,30
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,4.4,1.9,1.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,158,5,1,1,12
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,3.2,0.6,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,591,29,39,4,63
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,4.9,6.6,0.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,14,31,2,25
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,5.0,11.1,0.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,236,10,8,2,32
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,4.2,3.4,0.8,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,5,0,0,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,6.7,0.0,0.0,
