,,,問7(1).欲しいものがあっても、我慢をすることができる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6716,2982,2735,780,219,52
全体,,構成比（％）,100.0,44.4,40.7,11.6,3.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2267,1083,850,246,88,27
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,47.8,37.5,10.9,3.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1163,528,440,135,60,19
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,45.4,37.8,11.6,5.2,
小中高校生別×男女別,小学生-女子,回答者数（人）,1104,555,410,111,28,8
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,50.3,37.1,10.1,2.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2501,1132,1026,280,63,17
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,45.3,41.0,11.2,2.5,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,565,532,132,39,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,44.6,42.0,10.4,3.1,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,567,494,148,24,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,46.0,40.1,12.0,1.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,728,823,242,62,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,39.2,44.4,13.0,3.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,313,377,99,28,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,38.3,46.1,12.1,3.4,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,415,446,143,34,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,40.0,43.0,13.8,3.3,
