,,,問8(1).友達を仲間はずれにする人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6590,301,585,2432,3272,178
全体,,構成比（％）,100.0,4.6,8.9,36.9,49.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2205,95,132,680,1298,89
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.3,6.0,30.8,58.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1119,77,94,362,586,63
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,6.9,8.4,32.4,52.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1086,18,38,318,712,26
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.7,3.5,29.3,65.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2469,145,287,899,1138,49
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,5.9,11.6,36.4,46.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1244,111,197,478,458,33
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,8.9,15.8,38.4,36.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,34,90,421,680,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,2.8,7.3,34.4,55.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1825,58,159,818,790,37
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.2,8.7,44.8,43.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,41,107,386,270,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,5.1,13.3,48.0,33.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,17,52,432,520,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.7,5.1,42.3,50.9,
