,,,問7(8).友達の失敗や間違いを、馬鹿にしてみんなに話す／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6693,157,758,2652,3126,75
全体,,構成比（％）,100.0,2.3,11.3,39.6,46.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2253,40,148,665,1400,41
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,1.8,6.6,29.5,62.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1155,33,109,414,599,27
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,2.9,9.4,35.8,51.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1098,7,39,251,801,14
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,0.6,3.6,22.9,73.0,
小中高校生別×男女別,中学生-全体,回答者数（人）,2496,64,317,1050,1065,22
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,2.6,12.7,42.1,42.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,56,239,544,427,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,4.4,18.9,43.0,33.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1230,8,78,506,638,11
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,0.7,6.3,41.1,51.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1852,50,284,900,618,10
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,2.7,15.3,48.6,33.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,30,187,428,172,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,3.7,22.9,52.4,21.1,
小中高校生別×男女別,高校生-女子,回答者数（人）,1035,20,97,472,446,6
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.9,9.4,45.6,43.1,
