,,,問14(2).あなたの周(まわ)りの友達は、ルールやマナーを守る人が多い／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,6245,1854,2990,1150,251,523
全体,,構成比（％）,100.0,29.7,47.9,18.4,4.0,
小中高校生別×男女別,小学生-全体,回答者数（人）,2110,771,934,347,58,184
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,36.5,44.3,16.4,2.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1069,357,486,191,35,113
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,33.4,45.5,17.9,3.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1041,414,448,156,23,71
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,39.8,43.0,15.0,2.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2306,593,1089,497,127,212
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,25.7,47.2,21.6,5.5,
小中高校生別×男女別,中学生-男子,回答者数（人）,1148,295,506,252,95,129
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,25.7,44.1,22.0,8.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1158,298,583,245,32,83
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,25.7,50.3,21.2,2.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1751,467,934,288,62,111
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,26.7,53.3,16.4,3.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,765,173,406,151,35,56
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,22.6,53.1,19.7,4.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,986,294,528,137,27,55
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,29.8,53.5,13.9,2.7,
