,,,問7(2).他人が困ると分かっていても、自分のしたいことをする／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5101,184,709,2511,1697,60
全体,,構成比（％）,100.0,3.6,13.9,49.2,33.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,19,63,171,128,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,5.0,16.5,44.9,33.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,8,25,56,76,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,4.8,15.2,33.9,46.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,11,34,111,50,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.3,16.5,53.9,24.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,4,4,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,40.0,40.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,25,93,382,300,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,3.1,11.6,47.8,37.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,11,31,168,170,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.9,8.2,44.2,44.7,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,392,12,60,194,126,4
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,3.1,15.3,49.5,32.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,2,20,4,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,7.1,71.4,14.3,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,21,61,226,156,6
