,,,問8(11).歩道いっぱいに広がって歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6564,343,680,2212,3329,204
全体,,構成比（％）,100.0,5.2,10.4,33.7,50.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2188,114,223,603,1248,106
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.2,10.2,27.6,57.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1109,82,123,306,598,73
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,7.4,11.1,27.6,53.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1079,32,100,297,650,33
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,3.0,9.3,27.5,60.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2462,162,294,870,1136,56
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,6.6,11.9,35.3,46.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1238,112,190,403,533,39
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,9.0,15.3,32.6,43.1,
小中高校生別×男女別,中学生-女子,回答者数（人）,1224,50,104,467,603,17
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,4.1,8.5,38.2,49.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1823,59,156,710,898,39
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.2,8.6,38.9,49.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,803,40,83,298,382,18
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,5.0,10.3,37.1,47.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1020,19,73,412,516,21
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.9,7.2,40.4,50.6,
