,,,問6(1).何をしようが自分の勝手だと思う／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6709,567,1683,2545,1914,59
全体,,構成比（％）,100.0,8.5,25.1,37.9,28.5,
小中高校生別×男女別,小学生-全体,回答者数（人）,2263,113,329,830,991,31
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.0,14.5,36.7,43.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1161,63,164,456,478,21
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,5.4,14.1,39.3,41.2,
小中高校生別×男女別,小学生-女子,回答者数（人）,1102,50,165,374,513,10
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,4.5,15.0,33.9,46.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2499,248,644,967,640,19
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.9,25.8,38.7,25.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,133,341,470,322,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.5,26.9,37.1,25.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,115,303,497,318,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,9.3,24.6,40.3,25.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,194,688,722,251,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,10.5,37.1,38.9,13.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,95,303,298,121,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,11.6,37.1,36.5,14.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,99,385,424,130,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,9.5,37.1,40.8,12.5,
