,,,問5(6).あなたは、友達に迷惑をかけたときには、謝る／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,5098,3589,1304,111,94,63
全体,,構成比（％）,100.0,70.4,25.6,2.2,1.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,245,119,11,4,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,64.6,31.4,2.9,1.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,103,53,6,1,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,63.2,32.5,3.7,0.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,135,63,5,3,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,65.5,30.6,2.4,1.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,7,3,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,70.0,30.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,587,185,19,9,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,73.4,23.1,2.4,1.1,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,279,86,11,5,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,73.2,22.6,2.9,1.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,291,89,7,4,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,74.4,22.8,1.8,1.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,17,10,1,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,60.7,35.7,3.6,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,334,103,16,9,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,72.3,22.3,3.5,1.9,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,190,56,9,7,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,72.5,21.4,3.4,2.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,143,47,7,2,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,71.9,23.6,3.5,1.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,763,523,205,16,19,8
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,68.5,26.9,2.1,2.5,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,315,219,77,8,11,6
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,69.5,24.4,2.5,3.5,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,250,102,7,8,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,68.1,27.8,1.9,2.2,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,54,26,1,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,66.7,32.1,1.2,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,813,590,199,11,13,6
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,72.6,24.5,1.4,1.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,183,59,3,5,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,73.2,23.6,1.2,2.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,266,77,5,6,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,75.1,21.8,1.4,1.7,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,141,63,3,2,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,67.5,30.1,1.4,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,321,178,15,12,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,61.0,33.8,2.9,2.3,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,159,106,11,6,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,56.4,37.6,3.9,2.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,155,67,4,6,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,66.8,28.9,1.7,2.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,7,5,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,58.3,41.7,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,715,533,158,11,13,3
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,74.5,22.1,1.5,1.8,
