,,,問4(5).友達にうそをつく人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5108,305,679,1823,2301,53
全体,,構成比（％）,100.0,6.0,13.3,35.7,45.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,28,55,147,152,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,7.3,14.4,38.5,39.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,12,17,55,82,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.2,10.2,33.1,49.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,16,36,88,66,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,7.8,17.5,42.7,32.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,4,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,40.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,803,51,85,271,396,5
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,6.4,10.6,33.7,49.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,19,27,118,217,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,5.0,7.1,31.0,57.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,394,30,55,140,169,2
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,7.6,14.0,35.5,42.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,3,13,10,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,10.7,46.4,35.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,460,21,67,137,235,10
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,4.6,14.6,29.8,51.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,261,11,27,77,146,7
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,4.2,10.3,29.5,55.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,10,40,60,88,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,5.1,20.2,30.3,44.4,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,764,46,96,289,333,7
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,6.0,12.6,37.8,43.6,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,317,19,34,108,156,4
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,6.0,10.7,34.1,49.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,22,48,142,154,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,6.0,13.1,38.8,42.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,5,14,39,23,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,6.2,17.3,48.1,28.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,45,119,316,334,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.5,14.6,38.8,41.0,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,12,21,78,140,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.8,8.4,31.1,55.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,25,59,137,133,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,7.1,16.7,38.7,37.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,8,39,101,61,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.8,18.7,48.3,29.2,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,28,66,201,231,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,5.3,12.5,38.2,43.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,11,34,98,138,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.9,12.1,34.9,49.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,17,30,97,89,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,7.3,12.9,41.6,38.2,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,2,6,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,16.7,50.0,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,45,98,231,339,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.3,13.7,32.4,47.5,
