,,,問7(1).欲しいものがあっても、我慢をすることができる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5118,2322,2050,587,159,43
全体,,構成比（％）,100.0,45.4,40.1,11.5,3.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,178,138,50,16,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,46.6,36.1,13.1,4.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,85,55,17,9,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,51.2,33.1,10.2,5.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,90,80,29,7,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,43.7,38.8,14.1,3.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,3,3,4,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,30.0,30.0,40.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,801,382,329,72,18,7
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,47.7,41.1,9.0,2.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,188,155,31,7,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,49.3,40.7,8.1,1.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,392,187,157,38,10,4
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,47.7,40.1,9.7,2.6,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,7,17,3,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,25.0,60.7,10.7,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,465,219,181,45,20,5
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,47.1,38.9,9.7,4.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,265,129,96,24,16,3
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,48.7,36.2,9.1,6.0,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,90,85,20,4,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,45.2,42.7,10.1,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,763,343,318,79,23,8
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,45.0,41.7,10.4,3.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,140,129,33,12,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,44.6,41.1,10.5,3.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,167,156,35,10,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,45.4,42.4,9.5,2.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,36,33,11,1,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,44.4,40.7,13.6,1.2,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,815,354,328,114,19,4
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,43.4,40.2,14.0,2.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,110,96,38,7,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,43.8,38.2,15.1,2.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,163,139,46,7,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,45.9,39.2,13.0,2.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,81,93,30,5,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,38.8,44.5,14.4,2.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,528,228,219,66,15,3
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,43.2,41.5,12.5,2.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,283,126,118,31,8,3
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,44.5,41.7,11.0,2.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,97,96,33,7,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,41.6,41.2,14.2,3.0,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,5,5,2,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,41.7,41.7,16.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,715,312,293,87,23,3
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.6,41.0,12.2,3.2,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,203,100,67,28,8,0
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,49.3,33.0,13.8,3.9,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,152,150,33,9,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,44.2,43.6,9.6,2.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,60,76,26,6,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,35.7,45.2,15.5,3.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,649,306,244,74,25,5
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,47.1,37.6,11.4,3.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,151,102,34,15,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,50.0,33.8,11.3,5.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,121,109,28,8,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,45.5,41.0,10.5,3.0,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,34,33,12,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,42.0,40.7,14.8,2.5,
