,,,問5(3).あなたは、友達から何かをしてもらったら、感謝の言葉を言う／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,5111,3755,1216,101,39,50
全体,,構成比（％）,100.0,73.5,23.8,2.0,0.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,383,265,106,7,5,7
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,69.2,27.7,1.8,1.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,121,39,4,2,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,72.9,23.5,2.4,1.2,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,207,137,64,3,3,1
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,66.2,30.9,1.4,1.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,7,3,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,70.0,30.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,607,178,13,2,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,75.9,22.3,1.6,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,382,295,78,9,0,2
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,77.2,20.4,2.4,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,297,88,3,2,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,76.2,22.6,0.8,0.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,15,12,1,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,53.6,42.9,3.6,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,341,106,11,4,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,73.8,22.9,2.4,0.9,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,198,54,6,4,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,75.6,20.6,2.3,1.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,142,52,5,0,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,71.4,26.1,2.5,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,765,553,188,17,7,6
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,72.3,24.6,2.2,0.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,317,233,74,5,5,4
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,73.5,23.3,1.6,1.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,262,94,9,2,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,71.4,25.6,2.5,0.5,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,58,20,3,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,71.6,24.7,3.7,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,586,209,15,4,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,72.0,25.7,1.8,0.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,181,63,6,0,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,72.4,25.2,2.4,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,263,83,6,3,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,74.1,23.4,1.7,0.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,142,63,3,1,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,67.9,30.1,1.4,0.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,523,362,141,15,5,8
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,69.2,27.0,2.9,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,278,175,92,9,2,8
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,62.9,33.1,3.2,0.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,179,45,6,3,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,76.8,19.3,2.6,1.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,8,4,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,66.7,33.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,556,145,9,6,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,77.7,20.3,1.3,0.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,153,45,0,3,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,76.1,22.4,0.0,1.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,270,65,7,3,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,78.3,18.8,2.0,0.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,133,35,2,0,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,78.2,20.6,1.2,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,648,485,143,14,6,6
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,74.8,22.1,2.2,0.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,301,230,63,7,1,4
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,76.4,20.9,2.3,0.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,197,59,6,4,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,74.1,22.2,2.3,1.5,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,58,21,1,1,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,71.6,25.9,1.2,1.2,
