地区名,,居住歴（いつから住んでいるか）／合計,生まれたときから,小学校に入る前から,小学校1～3年生のころから,小学校4～6年生のころから,中学生になってから,高校生になってから,不明
全体,回答者数（人）,6689,3363,1997,623,463,187,56,79
全体,構成比（％）,100.0,50.3,29.9,9.3,6.9,2.8,0.8,
A地区,回答者数（人）,394,195,108,31,41,16,3,4
A地区,構成比（％）,100.0,49.5,27.4,7.9,10.4,4.1,0.8,
B地区,回答者数（人）,801,297,258,123,95,28,0,9
B地区,構成比（％）,100.0,37.1,32.2,15.4,11.9,3.5,0.0,
C地区,回答者数（人）,487,179,191,66,39,12,0,7
C地区,構成比（％）,100.0,36.8,39.2,13.6,8.0,2.5,0.0,
D地区,回答者数（人）,977,538,264,87,68,19,1,9
D地区,構成比（％）,100.0,55.1,27.0,8.9,7.0,1.9,0.1,
E地区,回答者数（人）,869,531,219,60,29,24,6,5
E地区,構成比（％）,100.0,61.1,25.2,6.9,3.3,2.8,0.7,
F地区,回答者数（人）,526,229,176,64,45,11,1,8
F地区,構成比（％）,100.0,43.5,33.5,12.2,8.6,2.1,0.2,
G地区,回答者数（人）,734,386,238,55,35,16,4,8
G地区,構成比（％）,100.0,52.6,32.4,7.5,4.8,2.2,0.5,
H地区,回答者数（人）,647,370,192,42,29,12,2,10
H地区,構成比（％）,100.0,57.2,29.7,6.5,4.5,1.9,0.3,
その他,回答者数（人）,1220,620,344,90,81,46,39,8
その他,構成比（％）,100.0,50.8,28.2,7.4,6.6,3.8,3.2,
不明,回答者数（人）,34,18,7,5,1,3,0,11
不明,構成比（％）,100.0,52.9,20.6,14.7,2.9,8.8,0.0,
