,,,問8(13).道路や駅など公共の場でスマートフォンの画面を見ながら歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5013,730,1187,1553,1543,148
全体,,構成比（％）,100.0,14.6,23.7,31.0,30.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,375,56,91,109,119,15
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,14.9,24.3,29.1,31.7,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,162,18,26,40,78,10
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,11.1,16.0,24.7,48.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,37,63,65,38,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,18.2,31.0,32.0,18.7,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,2,4,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,20.0,40.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,783,106,180,237,260,25
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,13.5,23.0,30.3,33.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,38,70,114,146,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,10.3,19.0,31.0,39.7,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,64,102,110,111,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,16.5,26.4,28.4,28.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,4,8,13,3,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,14.3,28.6,46.4,10.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,82,104,156,115,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,17.9,22.8,34.1,25.2,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,40,48,87,85,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,15.4,18.5,33.5,32.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,42,55,69,30,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,21.4,28.1,35.2,15.3,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,748,94,193,229,232,23
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,12.6,25.8,30.6,31.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,40,63,92,109,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,13.2,20.7,30.3,35.9,
