,,,問9(2).先生の指示に従わなかった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6543,3361,1149,1698,335,225
全体,,構成比（％）,100.0,51.4,17.6,26.0,5.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2184,1311,426,386,61,110
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,60.0,19.5,17.7,2.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1105,575,217,265,48,77
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,52.0,19.6,24.0,4.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1079,736,209,121,13,33
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,68.2,19.4,11.2,1.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2450,1118,456,720,156,68
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,45.6,18.6,29.4,6.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1234,531,221,380,102,43
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,43.0,17.9,30.8,8.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1216,587,235,340,54,25
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,48.3,19.3,28.0,4.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1818,884,256,572,106,44
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,48.6,14.1,31.5,5.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,366,102,272,62,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,45.6,12.7,33.9,7.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1016,518,154,300,44,25
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,51.0,15.2,29.5,4.3,
