,,,問6(2).悪いことをしても、バレなければよい／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5099,159,647,1661,2632,62
全体,,構成比（％）,100.0,3.1,12.7,32.6,51.6,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,383,15,50,132,186,7
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,3.9,13.1,34.5,48.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,3,12,41,111,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,1.8,7.2,24.6,66.5,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,12,33,89,72,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.8,16.0,43.2,35.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,5,2,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,50.0,20.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,798,23,86,252,437,10
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,2.9,10.8,31.6,54.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,379,6,22,91,260,5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,1.6,5.8,24.0,68.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,14,58,147,172,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,3.6,14.8,37.6,44.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,3,6,14,5,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,10.7,21.4,50.0,17.9,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,14,62,135,253,6
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,3.0,13.4,29.1,54.5,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,6,17,70,171,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,2.3,6.4,26.5,64.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,8,45,65,81,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,4.0,22.6,32.7,40.7,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
