,,,問8(5).集会や体育など整列しなくてはいけないときに、列に並ばない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5007,305,604,1655,2443,154
全体,,構成比（％）,100.0,6.1,12.1,33.1,48.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,31,37,113,201,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,8.1,9.7,29.6,52.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,11,8,31,117,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.6,4.8,18.6,70.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,20,27,78,80,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,9.8,13.2,38.0,39.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,4,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,40.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,779,37,87,243,412,29
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.7,11.2,31.2,52.9,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,365,13,26,105,221,19
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,3.6,7.1,28.8,60.5,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,23,56,126,181,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,6.0,14.5,32.6,46.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,5,12,10,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,17.9,42.9,35.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,456,37,51,164,204,14
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,8.1,11.2,36.0,44.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,19,26,80,134,9
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,7.3,10.0,30.9,51.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,18,24,84,70,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.2,12.2,42.9,35.7,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,749,47,106,249,347,22
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,6.3,14.2,33.2,46.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,305,21,32,89,163,16
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,6.9,10.5,29.2,53.4,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,20,58,134,151,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,5.5,16.0,36.9,41.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,6,16,26,33,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,7.4,19.8,32.1,40.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,798,40,124,274,360,21
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.0,15.5,34.3,45.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,6,24,76,137,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.5,9.9,31.3,56.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,348,24,41,121,162,10
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,6.9,11.8,34.8,46.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,10,59,77,61,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.8,28.5,37.2,29.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,23,60,177,251,20
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.5,11.7,34.6,49.1,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,9,38,82,144,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.3,13.9,30.0,52.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,14,19,86,107,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,6.2,8.4,38.1,47.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,3,9,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,25.0,75.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,43,76,228,347,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.2,11.0,32.9,50.0,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,190,8,13,59,110,13
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,4.2,6.8,31.1,57.9,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,26,32,114,170,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,7.6,9.4,33.3,49.7,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,9,31,55,67,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,5.6,19.1,34.0,41.4,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,638,47,63,207,321,16
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,7.4,9.9,32.4,50.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,13,20,84,179,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.4,6.8,28.4,60.5,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,262,32,39,88,103,6
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,12.2,14.9,33.6,39.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,2,4,35,39,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.5,5.0,43.8,48.8,
