,,,問9(8).決められた場所以外に自転車を置いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6567,4306,825,992,444,201
全体,,構成比（％）,100.0,65.6,12.6,15.1,6.8,
小中高校生別×男女別,小学生-全体,回答者数（人）,2189,1618,288,206,77,105
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,73.9,13.2,9.4,3.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1108,812,145,108,43,74
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,73.3,13.1,9.7,3.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1081,806,143,98,34,31
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,74.6,13.2,9.1,3.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2465,1575,309,394,187,53
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,63.9,12.5,16.0,7.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,775,159,186,122,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,62.4,12.8,15.0,9.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1223,800,150,208,65,18
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,65.4,12.3,17.0,5.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,1051,217,377,177,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,57.7,11.9,20.7,9.7,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,434,90,182,98,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,54.0,11.2,22.6,12.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1018,617,127,195,79,23
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,60.6,12.5,19.2,7.8,
