,,,問11(5).それらの活動では、あなたは人の役に立ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3130,336,675,1153,966,39,1992
全体,,構成比（％）,100.0,10.7,21.6,36.8,30.9,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,231,26,48,80,77,3,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,11.3,20.8,34.6,33.3,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,13,24,31,37,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,12.4,22.9,29.5,35.2,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,122,13,23,48,38,2,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,10.7,18.9,39.3,31.1,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,0,1,1,2,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,25.0,25.0,50.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,517,55,114,175,173,5,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,10.6,22.1,33.8,33.5,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,249,23,57,83,86,1,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,9.2,22.9,33.3,34.5,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,254,31,54,86,83,4,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,12.2,21.3,33.9,32.7,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,1,3,6,4,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,21.4,42.9,28.6,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,266,35,55,106,70,4,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,13.2,20.7,39.8,26.3,,
