,,,問11(5).それらの活動では、あなたは人の役に立ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3997,410,873,1497,1217,47,2724
全体,,構成比（％）,100.0,10.3,21.8,37.5,30.4,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1428,167,328,484,449,24,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,11.7,23.0,33.9,31.4,,
小中高校生別×男女別,小学生-男子,回答者数（人）,763,84,168,257,254,17,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,11.0,22.0,33.7,33.3,,
小中高校生別×男女別,小学生-女子,回答者数（人）,665,83,160,227,195,7,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,12.5,24.1,34.1,29.3,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1533,159,316,587,471,15,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,10.4,20.6,38.3,30.7,,
小中高校生別×男女別,中学生-男子,回答者数（人）,777,88,154,285,250,8,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,11.3,19.8,36.7,32.2,,
小中高校生別×男女別,中学生-女子,回答者数（人）,756,71,162,302,221,7,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,9.4,21.4,39.9,29.2,,
小中高校生別×男女別,高校生-全体,回答者数（人）,988,74,218,413,283,6,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.5,22.1,41.8,28.6,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,33,114,152,135,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,7.6,26.3,35.0,31.1,,
小中高校生別×男女別,高校生-女子,回答者数（人）,554,41,104,261,148,3,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,7.4,18.8,47.1,26.7,,
