,,,問6(12).他人に迷惑がかかりそうな身勝手な行動はつつしむ／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5092,2032,2151,658,251,69
全体,,構成比（％）,100.0,39.9,42.2,12.9,4.9,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,383,133,172,54,24,7
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,34.7,44.9,14.1,6.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,66,62,24,15,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,39.5,37.1,14.4,9.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,65,103,29,9,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,31.6,50.0,14.1,4.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,2,7,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,20.0,70.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,798,370,300,88,40,10
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,46.4,37.6,11.0,5.0,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,379,179,133,41,26,5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,47.2,35.1,10.8,6.9,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,183,149,46,13,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,46.8,38.1,11.8,3.3,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,8,18,1,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,28.6,64.3,3.6,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,198,181,67,17,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,42.8,39.1,14.5,3.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,118,94,40,11,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,44.9,35.7,15.2,4.2,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,80,86,27,6,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,40.2,43.2,13.6,3.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,758,288,333,96,41,13
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,38.0,43.9,12.7,5.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,310,127,120,38,25,11
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,41.0,38.7,12.3,8.1,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,136,167,48,16,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,37.1,45.5,13.1,4.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,25,46,10,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,30.9,56.8,12.3,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,811,322,360,100,29,8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,39.7,44.4,12.3,3.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,101,92,38,19,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,40.4,36.8,15.2,7.6,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,352,151,153,40,8,6
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,42.9,43.5,11.4,2.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,70,115,22,2,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,33.5,55.0,10.5,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,521,162,248,85,26,10
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,31.1,47.6,16.3,5.0,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,276,82,120,56,18,10
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,29.7,43.5,20.3,6.5,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,76,121,28,8,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,32.6,51.9,12.0,3.4,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,7,1,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,58.3,8.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,714,308,298,77,31,4
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.1,41.7,10.8,4.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,78,73,30,21,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,38.6,36.1,14.9,10.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,148,157,32,7,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,43.0,45.6,9.3,2.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,82,68,15,3,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,48.8,40.5,8.9,1.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,644,251,259,91,43,10
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,39.0,40.2,14.1,6.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,299,113,108,53,25,6
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,37.8,36.1,17.7,8.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,109,107,32,16,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,41.3,40.5,12.1,6.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,29,44,6,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,35.8,54.3,7.4,2.5,
