,,,問8(6).そうじをさぼる人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5007,382,790,1598,2237,154
全体,,構成比（％）,100.0,7.6,15.8,31.9,44.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,35,41,123,183,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,9.2,10.7,32.2,47.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,12,9,47,99,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.2,5.4,28.1,59.3,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,22,32,71,80,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,10.7,15.6,34.6,39.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,0,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,0.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,50,99,247,386,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,6.4,12.7,31.6,49.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,366,21,26,104,215,18
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,5.7,7.1,28.4,58.7,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,388,27,65,134,162,8
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,7.0,16.8,34.5,41.8,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,8,9,9,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,28.6,32.1,32.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,455,42,75,141,197,15
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,9.2,16.5,31.0,43.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,17,38,65,138,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,6.6,14.7,25.2,53.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,25,36,76,59,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,12.8,18.4,38.8,30.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,49,126,221,350,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,6.6,16.9,29.6,46.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,23,41,68,171,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,7.6,13.5,22.4,56.4,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,19,67,120,156,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,5.2,18.5,33.1,43.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,7,18,33,23,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,8.6,22.2,40.7,28.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,68,170,273,289,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,8.5,21.3,34.1,36.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,11,26,72,135,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.5,10.7,29.5,55.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,36,76,122,116,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,10.3,21.7,34.9,33.1,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,21,68,79,38,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,10.2,33.0,38.3,18.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,24,76,168,242,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.7,14.9,32.9,47.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,9,36,75,153,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.3,13.2,27.5,56.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,15,37,84,89,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,6.7,16.4,37.3,39.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,3,9,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,25.0,75.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,58,97,216,323,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,8.4,14.0,31.1,46.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,189,13,17,39,120,14
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.9,9.0,20.6,63.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,31,47,112,152,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,9.1,13.7,32.7,44.4,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,14,33,65,51,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,8.6,20.2,39.9,31.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,638,56,106,209,267,16
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,8.8,16.6,32.8,41.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,12,28,82,172,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.1,9.5,27.9,58.5,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,39,59,95,71,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,14.8,22.3,36.0,26.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,5,19,32,24,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,6.3,23.8,40.0,30.0,
