,,,問5(2).あなたは、自分の名前を呼ばれたら、きちんと返事をする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,5113,2892,1989,199,33,48
全体,,構成比（％）,100.0,56.6,38.9,3.9,0.6,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,212,149,16,5,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,55.5,39.0,4.2,1.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,96,61,6,2,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,58.2,37.0,3.6,1.2,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,207,111,83,10,3,1
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,53.6,40.1,4.8,1.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,5,5,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,50.0,50.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,506,260,31,2,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,63.3,32.5,3.9,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,253,116,12,0,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,66.4,30.4,3.1,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,237,134,17,2,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,60.8,34.4,4.4,0.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,16,10,2,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,57.1,35.7,7.1,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,267,180,14,1,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,57.8,39.0,3.0,0.2,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,168,91,3,1,5
