,,,問6(6).悪いことでもみんなで一緒にやれば平気でできてしまう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5098,203,619,1635,2641,63
全体,,構成比（％）,100.0,4.0,12.1,32.1,51.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,21,50,120,191,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,5.5,13.1,31.4,50.0,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,7,11,39,109,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,4.2,6.6,23.5,65.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,14,37,76,79,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,6.8,18.0,36.9,38.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,5,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,50.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,30,90,260,420,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,3.8,11.3,32.5,52.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,9,34,91,247,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.4,8.9,23.9,64.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,18,53,152,168,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,4.6,13.6,38.9,43.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,3,3,17,5,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,10.7,10.7,60.7,17.9,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,18,69,139,236,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,3.9,14.9,30.1,51.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,9,24,67,162,6
