,,,問11(8).それらの活動では、あなたは年下の人のめんどうをみたことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4007,733,758,1078,1438,37,2724
全体,,構成比（％）,100.0,18.3,18.9,26.9,35.9,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1432,290,268,371,503,20,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,20.3,18.7,25.9,35.1,,
小中高校生別×男女別,小学生-男子,回答者数（人）,765,170,143,199,253,15,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,22.2,18.7,26.0,33.1,,
小中高校生別×男女別,小学生-女子,回答者数（人）,667,120,125,172,250,5,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,18.0,18.7,25.8,37.5,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1536,283,282,385,586,12,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,18.4,18.4,25.1,38.2,,
小中高校生別×男女別,中学生-男子,回答者数（人）,780,154,149,196,281,5,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,19.7,19.1,25.1,36.0,,
小中高校生別×男女別,中学生-女子,回答者数（人）,756,129,133,189,305,7,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,17.1,17.6,25.0,40.3,,
小中高校生別×男女別,高校生-全体,回答者数（人）,989,147,198,309,335,5,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,14.9,20.0,31.2,33.9,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,72,102,121,139,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,16.6,23.5,27.9,32.0,,
小中高校生別×男女別,高校生-女子,回答者数（人）,555,75,96,188,196,2,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,13.5,17.3,33.9,35.3,,
