,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
全体,,回答者数（人）,6089,4246,1784,1211,851,2206,1220,2885
全体,,構成比（％）,100.0,69.7,29.3,19.9,14.0,36.2,20.0,47.4
小中高校生別×男女別,小学生-全体,回答者数（人）,2006,1538,700,485,364,918,530,1064
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,76.7,34.9,24.2,18.1,45.8,26.4,53.0
小中高校生別×男女別,小学生-男子,回答者数（人）,992,754,310,206,168,427,265,460
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,76.0,31.3,20.8,16.9,43.0,26.7,46.4
小中高校生別×男女別,小学生-女子,回答者数（人）,1014,784,390,279,196,491,265,604
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,77.3,38.5,27.5,19.3,48.4,26.1,59.6
小中高校生別×男女別,中学生-全体,回答者数（人）,2276,1505,677,480,332,763,411,1135
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,66.1,29.7,21.1,14.6,33.5,18.1,49.9
小中高校生別×男女別,中学生-男子,回答者数（人）,1114,709,321,209,178,382,214,527
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,63.6,28.8,18.8,16.0,34.3,19.2,47.3
小中高校生別×男女別,中学生-女子,回答者数（人）,1162,796,356,271,154,381,197,608
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,68.5,30.6,23.3,13.3,32.8,17.0,52.3
小中高校生別×男女別,高校生-全体,回答者数（人）,1724,1148,385,232,139,491,261,651
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,66.6,22.3,13.5,8.1,28.5,15.1,37.8
小中高校生別×男女別,高校生-男子,回答者数（人）,756,471,140,84,68,227,117,247
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,62.3,18.5,11.1,9.0,30.0,15.5,32.7
小中高校生別×男女別,高校生-女子,回答者数（人）,968,677,245,148,71,264,144,404
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,69.9,25.3,15.3,7.3,27.3,14.9,41.7
