,,,問6(7).周(まわ)りから変な人と思われないように気をつけている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5094,1617,1537,1071,869,67
全体,,構成比（％）,100.0,31.7,30.2,21.0,17.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,117,113,83,68,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,30.7,29.7,21.8,17.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,67,33,29,36,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,40.6,20.0,17.6,21.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,48,76,52,30,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,23.3,36.9,25.2,14.6,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,2,4,2,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,20.0,40.0,20.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,796,251,230,157,158,12
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,31.5,28.9,19.7,19.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,377,136,103,67,71,7
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,36.1,27.3,17.8,18.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,109,114,85,83,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,27.9,29.2,21.7,21.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,6,13,5,4,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,21.4,46.4,17.9,14.3,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,185,147,77,55,6
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,39.9,31.7,16.6,11.9,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,133,67,32,32,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,50.4,25.4,12.1,12.1,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,52,80,44,23,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,26.1,40.2,22.1,11.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,763,230,225,167,141,8
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,30.1,29.5,21.9,18.5,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,125,79,53,57,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,39.8,25.2,16.9,18.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,88,114,94,72,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,23.9,31.0,25.5,19.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,17,32,20,12,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,21.0,39.5,24.7,14.8,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,811,282,245,180,104,8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,34.8,30.2,22.2,12.8,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,249,119,51,45,34,3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,47.8,20.5,18.1,13.7,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,127,112,71,44,4
