,,,問6(3).人に怒られなければ何をしてもよいと思う／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5024,107,340,1626,2951,137
全体,,構成比（％）,100.0,2.1,6.8,32.4,58.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,10,27,115,227,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,2.6,7.1,30.3,59.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,1,6,32,125,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,0.6,3.7,19.5,76.2,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,9,20,78,98,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,4.4,9.8,38.0,47.8,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,784,14,41,241,488,24
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,1.8,5.2,30.7,62.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,369,4,9,78,278,15
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,1.1,2.4,21.1,75.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,9,30,146,202,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,2.3,7.8,37.7,52.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,2,17,8,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,7.1,60.7,28.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,451,8,35,137,271,19
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,1.8,7.8,30.4,60.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,255,4,8,57,186,13
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,1.6,3.1,22.4,72.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,195,4,27,80,84,6
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,2.1,13.8,41.0,43.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,747,15,57,242,433,24
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,2.0,7.6,32.4,58.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,305,5,17,77,206,16
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,1.6,5.6,25.2,67.5,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,7,34,122,199,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,1.9,9.4,33.7,55.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,80,3,6,43,28,1
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,3.8,7.5,53.8,35.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,802,13,67,295,427,17
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,1.6,8.4,36.8,53.2,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,247,5,6,57,179,5
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.0,2.4,23.1,72.5,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,349,6,30,129,184,9
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,1.7,8.6,37.0,52.7,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,2,31,109,64,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,1.0,15.0,52.9,31.1,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,522,13,25,190,294,9
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,2.5,4.8,36.4,56.3,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,279,4,9,100,166,7
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,1.4,3.2,35.8,59.5,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,231,9,14,84,124,2
