,,,問4(6).友達に迷惑をかけたときに、謝らない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6696,250,391,1894,4161,72
全体,,構成比（％）,100.0,3.7,5.8,28.3,62.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2256,85,134,588,1449,38
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,3.8,5.9,26.1,64.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1155,70,90,325,670,27
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,6.1,7.8,28.1,58.0,
小中高校生別×男女別,小学生-女子,回答者数（人）,1101,15,44,263,779,11
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.4,4.0,23.9,70.8,
小中高校生別×男女別,中学生-全体,回答者数（人）,2496,110,171,710,1505,22
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,4.4,6.9,28.4,60.3,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,87,126,389,666,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.9,9.9,30.7,52.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1228,23,45,321,839,13
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,1.9,3.7,26.1,68.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1854,49,83,564,1158,8
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,2.6,4.5,30.4,62.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,33,54,291,439,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.0,6.6,35.6,53.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,16,29,273,719,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.5,2.8,26.3,69.3,
