公金支出情報（令和4年度　給与関係費等）,,,,,,,
,,,,,,,
,,,,,,（単位：円）,
支払年月,報酬 ,給料 ,職員手当等,共済費 ,災害補償費 ,恩給及退職年金,
令和４年４月,"3,543,888,756","50,373,002,571","22,358,005,670","14,684,419,826","9,186,754","183,741,716",
令和４年５月,"4,651,249,355","50,632,821,222","21,240,010,319","14,758,464,265","12,961,629","868,555",
令和４年６月,"5,365,880,228","50,717,876,989","170,702,307,816","26,450,265,181","38,211,123","1,307,963",
令和４年７月,"5,203,740,618","50,585,599,097","20,834,890,352","27,090,065,741","4,370,442","176,970,191",
令和４年８月,"5,075,366,596","50,498,511,079","21,168,836,115","19,642,552,572","7,285,303","62,233",
令和４年９月,"4,814,238,695","50,453,666,022","20,544,012,237","32,938,017,064","8,990,174","1,228,897",
令和４年１０月,"5,920,424,961","50,576,467,890","36,449,142,102","15,276,172,315","15,236,008","171,117,714",
令和４年１１月,"5,180,566,949","50,459,096,606","21,996,942,576","14,399,321,952","9,361,677","1,093,590",
令和４年１２月,"5,503,071,848","51,691,069,192","175,853,579,002","39,716,999,018","7,499,389","165,567,362",
令和５年１月,"5,160,421,104","50,447,263,875","21,835,694,883","16,400,280,747","10,408,419","2,170,295",
令和５年２月,"4,932,377,294","50,395,283,971","26,033,997,250","14,987,285,650","38,113,270","288,532",
令和５年３月,"6,827,476,593","50,181,868,503","21,831,650,346","15,678,540,234","6,852,457","331,874",
令和５年４月,"1,032,747,200","21,550,412","94,619,810,259","644,416,807","6,750,961",0,
令和５年５月,"7,461,135","3,913,644","429,844,778","832,601,246",0,"157,000",
,,,,,,,
