基金,,合計,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
３年度,,9981,799,8.00%,3841,38.50%,197,2.00%,3884,38.90%,1160,11.60%,100,1.00%
４年度,,9617,635,6.60%,3830,39.80%,75,0.80%,3544,36.90%,1432,14.90%,100,1.00%
４年度第１四半期,,9862,747,7.60%,3852,39.10%,75,0.80%,3744,38.00%,1343,13.60%,100,1.00%
第２四半期,,9555,673,7.00%,3879,40.60%,75,0.80%,3426,35.90%,1402,14.70%,100,1.00%
第３四半期,,9553,597,6.20%,3828,40.10%,75,0.80%,3491,36.50%,1463,15.30%,100,1.00%
第４四半期,,9496,522,5.50%,3761,39.60%,75,0.80%,3516,37.00%,1523,16.00%,100,1.10%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
