表‐3　基金一覧及び平均残高見込み,,,
,,,
基　金　名,平均残高,基　金　名,平均残高
都市外交人材育成基金,48,花と緑の東京募金基金 ※2,0
災害救助基金,78,ゼロエミッション東京推進基金,296
東京都尖閣諸島寄附金による尖閣諸島活用基金,14,災害廃棄物処理基金 ※3,0
財政調整基金,"3,062",介護保険財政安定化基金,36
社会資本等整備基金,"3,869",後期高齢者医療財政安定化基金,212
東京オリンピック・パラリンピック開催準備基金,"3,842",安心こども基金,86
防災街づくり基金,"1,585",地域医療介護総合確保基金,457
人に優しく快適な街づくり基金,60,福祉先進都市実現基金,920
消費者行政活性化基金 ※1,0,農業構造改革支援基金 ※4,0
芸術文化振興基金,21,おもてなし・観光基金,19
障害者スポーツ振興基金,35,無電柱化推進基金,279
鉄道新線建設等準備基金,804,スマート東京推進基金,447
緑あふれる東京基金,300,減債基金,"13,769"
公害健康被害予防基金,11,心身障害者扶養年金基金,329
,,国民健康保険財政安定化基金,275
,,計（29基金）,"30,852"
