表‐3　基金一覧及び平均残高見込み,,,
,,,
基　金　名,平均残高,基　金　名,平均残高
都市外交人材育成基金,43,ゼロエミッション東京推進基金,295
災害救助基金,94,介護保険財政安定化基金,36
東京都尖閣諸島寄附金による尖閣諸島活用基金,14,後期高齢者医療財政安定化基金,209
財政調整基金,"4,618",安心こども基金,110
社会資本等整備基金,"4,933",地域医療介護総合確保基金,486
東京オリンピック・パラリンピック開催準備基金,"1,001",福祉先進都市実現基金,"1,412"
防災街づくり基金,"2,304",農業構造改革支援基金 ※,0
人に優しく快適な街づくり基金,115,おもてなし・観光基金,16
芸術文化振興基金,17,無電柱化推進基金,204
障害者スポーツ振興基金,20,スマート東京推進基金,244
鉄道新線建設等準備基金,830,減債基金,"13,670"
緑あふれる東京基金,280,心身障害者扶養年金基金,295
公害健康被害予防基金,8,国民健康保険財政安定化基金,171
花と緑の東京募金基金,1,計（27基金）,"31,427"
※　農業構造改革支援基金の平均残高見込みは約3百万円,,,
,,,
