区分,コード,金融機関名,ペイジー対応,備考
信用金庫,1386,山梨信用金庫,＊,
信用金庫,1280,横浜信用金庫,,
信用組合,2010,全国信用協同組合連合会,,
信用組合,2060,あすか信用組合,＊,
信用組合,2226,東信用組合,,
信用組合,2241,共立信用組合,＊,
信用組合,2271,警視庁職員信用組合,,
信用組合,2229,江東信用組合,＊,
信用組合,2243,七島信用組合,＊,
信用組合,2231,青和信用組合,＊,
信用組合,2202,全東栄信用組合,,
信用組合,2254,第一勧業信用組合,＊,
信用組合,2248,大東京信用組合,＊,
信用組合,2224,東京厚生信用組合,,
信用組合,2215,東京証券信用組合,,
信用組合,2274,東京消防信用組合,,
信用組合,2276,東京都職員信用組合,,
信用組合,2210,東浴信用組合,,
信用組合,2235,中ノ郷信用組合,＊,
信用組合,2277,ハナ信用組合,,
信用組合,2211,文化産業信用組合,＊,
農業協同組合,5039,秋川農業協同組合,＊,
農業協同組合,5095,世田谷目黒農業協同組合,＊,
農業協同組合,5097,東京あおば農業協同組合,＊,
農業協同組合,5100,東京スマイル農業協同組合,＊,
農業協同組合,5094,東京中央農業協同組合,＊,
農業協同組合,5072,東京みどり農業協同組合,＊,
農業協同組合,5055,東京南農業協同組合,＊,
農業協同組合,5077,東京みらい農業協同組合,＊,
農業協同組合,5087,東京むさし農業協同組合,＊,
農業協同組合,5037,西多摩農業協同組合,＊,
農業協同組合,5030,西東京農業協同組合,＊,
農業協同組合,5050,八王子市農業協同組合,＊,
農業協同組合,5070,マインズ農業協同組合,＊,
農業協同組合,5060,町田市農業協同組合,＊,
農業協同組合,3013,東京都信用農業協同組合連合会,＊,本店、八丈島代理店及び小笠原島代理店
