従業者規模,事業所数／平成31年・令和元年／実数,事業所数／平成31年・令和元年／構成比(％),事業所数／平成31年・令和元年／増減数,事業所数／平成31年・令和元年／増減率(％),事業所数／平成30年／実数,事業所数／平成30年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／実数(人),従業者数(送出者を除く)／平成31年・令和元年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／増減数(人),従業者数(送出者を除く)／平成31年・令和元年／増減率(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),製造品出荷額等／平成31年・令和元年／金額(万円),製造品出荷額等／平成31年・令和元年／構成比(％),製造品出荷額等／平成31年・令和元年／増減額(万円),製造品出荷額等／平成31年・令和元年／増減率(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),付加価値額注／平成31年・令和元年／金額(万円),付加価値額注／平成31年・令和元年／構成比(％),付加価値額注／平成31年・令和元年／増減額(万円),付加価値額注／平成31年・令和元年／増減率(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％)
総数,9887,100,17,0.2,9870,100,245851,100,-1044,-0.4,246895,100,716075539,100,-41691408,-5.5,757766947,100,281606971,100,-25822085,-8.4,307429056,100
4～9人,4888,49.4,99,2.1,4789,48.5,29519,12,509,1.8,29010,11.7,38290702,5.3,1300895,3.5,36989807,4.9,18913254,6.7,410618,2.2,18502636,6
10～19人,2542,25.7,-50,-1.9,2592,26.3,34266,13.9,-557,-1.6,34823,14.1,62297060,8.7,-4622404,-6.9,66919464,8.8,27678343,9.8,-1055600,-3.7,28733943,9.3
20～29人,1104,11.2,-1,-0.1,1105,11.2,26736,10.9,-123,-0.5,26859,10.9,59788244,8.3,2499963,4.4,57288281,7.6,24321115,8.6,156084,0.6,24165031,7.9
30～49人,608,6.1,-16,-2.6,624,6.3,23600,9.6,-579,-2.4,24179,9.8,51244334,7.2,-4426817,-8,55671151,7.3,21835499,7.8,-2029847,-8.5,23865346,7.8
50～99人,449,4.5,-3,-0.7,452,4.6,30651,12.5,147,0.5,30504,12.4,78544308,11,553922,0.7,77990386,10.3,31267028,11.1,187717,0.6,31079311,10.1
100～199人,184,1.9,-10,-5.2,194,2,24828,10.1,-1159,-4.5,25987,10.5,74691009,10.4,-1640746,-2.1,76331755,10.1,27528421,9.8,-1691637,-5.8,29220058,9.5
200～299人,37,0.4,-1,-2.6,38,0.4,9160,3.7,-108,-1.2,9268,3.8,30267476,4.2,754326,2.6,29513150,3.9,9863533,3.5,1479693,17.6,8383840,2.7
300～499人,32,0.3,-4,-11.1,36,0.4,12005,4.9,-1653,-12.1,13658,5.5,39312604,5.5,-3293264,-7.7,42605868,5.6,12616291,4.5,-4178703,-24.9,16794994,5.5
500～999人,24,0.2,2,9.1,22,0.2,15727,6.4,1248,8.6,14479,5.9,49855291,7,824756,1.7,49030535,6.5,16558817,5.9,946118,6.1,15612699,5.1
1000人以上,19,0.2,1,5.6,18,0.2,39359,16,1231,3.2,38128,15.4,231784511,32.4,-33642039,-12.7,265426550,35,91024670,32.3,-20046528,-18,111071198,36.1
（再掲）4～29人,8534,86.3,48,0.6,8486,86,90521,36.8,-171,-0.2,90692,36.7,160376006,22.4,-821546,-0.5,161197552,21.3,70912712,25.2,-488898,-0.7,71401610,23.2
（再掲）30～299人,1278,12.9,-30,-2.3,1308,13.3,88239,35.9,-1699,-1.9,89938,36.4,234747127,32.8,-4759315,-2,239506442,31.6,90494481,32.1,-2054074,-2.2,92548555,30.1
（再掲）300～999人,56,0.6,-2,-3.4,58,0.6,27732,11.3,-405,-1.4,28137,11.4,89167895,12.5,-2468508,-2.7,91636403,12.1,29175108,10.4,-3232585,-10,32407693,10.5
（再掲）1000人以上,19,0.2,1,5.6,18,0.2,39359,16,1231,3.2,38128,15.4,231784511,32.4,-33642039,-12.7,265426550,35,91024670,32.3,-20046528,-18,111071198,36.1
,,,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,,,
付表2　従業者規模別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者４人以上）,,,,,,,,,,,,,,,,,,,,,,,,
注）従業者数29人以下は粗付加価値額。,,,,,,,,,,,,,,,,,,,,,,,,
